100,168.998,350
200,310.997,790
300,387.231,1216
400,485.467,1660
500,537.168,2096
600,546.376,2488
700,701.122,3012
800,784.928,3460
900,823.364,3882
1000,898.898,4328
1100,988.623,4804
1200,1093.9,5272
1300,1186.71,5744
1400,1379.44,6322
1500,1406.5,6724
1600,1526.69,7222
1700,1674.7,7734
1800,1795.93,8232
1900,2014.23,8828
2000,2111.44,9276
2100,2075.58,9658
2200,2219.82,10152
2300,2559.89,10822
2400,2684.08,11358
2500,2717.16,11798
2600,2893.26,12384
2700,3179.51,13026
2800,3162.56,13402
2900,3611.35,14220
3000,3638.26,14634
