100,159.281,356
200,311.901,806
300,403.743,1234
400,482.662,1668
500,537.328,2100
600,609.601,2544
700,689.736,2996
800,750.279,3434
900,833.893,3892
1000,898.383,4332
1100,989.227,4798
1200,1088.66,5274
1300,1156.44,5724
1400,1257.08,6198
1500,1372.89,6680
1600,1498.66,7186
1700,1652.39,7716
1800,1771.18,8216
1900,1856.04,8686
2000,1997.83,9204
2100,2164.46,9742
2200,2278.97,10240
2300,2426.85,10766
2400,2566.97,11290
2500,2716.69,11814
2600,2883.54,12346
2700,3028.8,12890
2800,3171.65,13414
2900,3358.07,13978
3000,3538.19,14534
