100,110.436,470
200,222.22,954
300,335.439,1438
400,478.48,1946
500,596.242,2426
600,720.244,2914
700,836.818,3402
800,983.124,3916
900,1091.8,4396
1000,1207.77,4876
1100,1355.52,5384
1200,1482.54,5888
1300,1607.01,6372
1400,1720.87,6848
1500,1849.54,7350
1600,1963.6,7834
1700,2076.59,8318
1800,2177.84,8786
1900,2289.89,9262
2000,2421.59,9764
2100,2538.27,10238
2200,2661.92,10734
2300,2789.28,11222
2400,2917.55,11718
2500,3050.06,12212
2600,3159.62,12692
2700,3269.63,13168
2800,3394.16,13656
2900,3509.57,14144
3000,3630.66,14632
