100,36.784,495
200,78.198,1162
300,152.418,2113
400,203.329,2943
500,265.417,4068
600,318.013,4842
700,378.729,6087
800,431.835,6866
900,507.605,8401
1000,552.957,9135
1100,693.84,10996
1200,788.653,12398
1300,864.966,13525
1400,939.585,14877
1500,1017.3,16316
1600,1084.17,17504
1700,1171.17,18935
1800,1232.65,20272
1900,1313.97,21939
2000,1403.32,23556
2100,1461.1,24801
2200,1542.67,26012
2300,1613.01,27533
2400,1685.88,28832
2500,1768.77,30412
2600,1877.13,32665
2700,1939.31,33680
2800,2008.12,34738
2900,2081.59,36055
3000,2164.24,37883
