100,42.137,613
200,102.878,1536
300,172.221,2544
400,235.984,3670
500,320.847,4887
600,398.985,6199
700,477.323,7562
800,531.155,8926
900,614.541,10437
1000,702.438,12044
1100,806.496,13313
1200,909.088,14564
1300,985.705,16072
1400,1078.43,17629
1500,1163.6,19160
1600,1272.79,20781
1700,1371.47,22417
1800,1473.03,24049
1900,1536.28,25618
2000,1639.51,27389
2100,1716.67,29081
2200,1822.1,30768
2300,1921.44,32528
2400,2029.56,34282
2500,2118.28,36000
2600,2217.38,37752
2700,2307.63,39643
2800,2424.68,41420
2900,2518.64,43273
3000,2621.05,45026
