100,21.454,493
200,51.144,1206
300,91.042,2079
400,120.764,3014
500,158.251,3845
600,209.295,4982
700,256.269,6173
800,302.362,7418
900,336.949,8412
1000,417.404,10185
1100,438.602,10739
1200,472.381,11676
1300,549.508,13577
1400,589.892,14487
1500,624.022,15377
1600,672.199,17052
1700,801.21,19720
1800,822.429,20798
1900,832.339,21015
2000,925.288,23460
2100,989.872,24651
2200,1043.82,26503
2300,1081.8,27282
2400,1101.89,28262
2500,1156.68,29441
2600,1251.4,31714
2700,1262.42,32084
2800,1364.75,34755
2900,1385.28,35239
3000,1471.73,37191
