100,43.962,833
200,105.975,2001
300,184.304,3422
400,246.837,4757
500,306.177,6201
600,428.161,8292
700,465.412,9673
800,547.535,11489
900,619.889,12910
1000,710.351,14897
1100,811.616,17216
1200,919.862,19227
1300,994.82,20998
1400,1057.62,22655
1500,1159.88,25260
1600,1241.83,26995
1700,1354.99,29411
1800,1480.6,31287
1900,1528.94,33312
2000,1687.55,36637
2100,1736.95,38062
2200,1816.72,39948
2300,1961.67,42663
2400,2076.23,44383
2500,2148.23,46739
2600,2270.8,49659
2700,2361.27,50928
2800,2475.08,53487
2900,2615.92,56632
3000,2664.8,58629

