100,84.677,2200
200,115.205,2742
300,143.462,3195
400,172.261,3637
500,205.789,4063
600,226.413,4400
700,252.578,4787
800,282.739,5119
900,312.693,5513
1000,342.962,5848
1100,360.066,6167
1200,387.541,6521
1300,416.231,7030
1400,439.761,7187
1500,453.436,7534
1600,488.565,8049
1700,513.909,8287
1800,536.833,8642
1900,560.373,8985
2000,606.595,9265
2100,623.487,9607
2200,665.261,9942
2300,660.048,10302
2400,705.235,10565
2500,741.475,11019
2600,729.607,11173
2700,769.795,11738
2800,809.967,12044
2900,812.014,12277
3000,845.019,12678
